State,Year,internet_usage,bachelors_degree,GDPpcGrowth,unemployment,Population,FarmEmploy,Forest&FishEmploy,Mining Employ,UtilitiesEmploy,ConstructionEmploy,ManufactureEmploy,WholesaleTradeEmploy,RetailTradeEmploy,TransportEmploy,InfoOther1,InfoOther2,InfoOther3,ITEmploy1,ITEmploy2,InfoOther4,FinanceInsuranceEmploy,RealtyEmploy,ProfTechEmploy,ManagementEmploy,AdminEmploy,EducationEmploy,HealthcareEmploy,ArtsEmploy,AccomFoodEmploy,OtherEmploy,GovernmentEmploy,AvgWage,PersonalIncomePC,TaxesAll,Male,Female,18YearsOlder,21YearsOlder,62YearsOlder,65YearsOlder,TwoOrMoreRace,White,Black,NativeAmeri,Asian,PacificIslander,Other,Hispanic,SalesTax,LandArea,PovertyRate
Alabama,2010,61.7,22,-0.29,3.8,4785401,50168,14919,12015,14560,145021,244145,79047,271147,69968,6989,2324,4103,12814,2288,641,102761,95529,137768,16997,153914,37644,226026,32524,163632,183321,412956,39607,33710,12551880,0.485,0.515,0.763,0.716,0.171,0.137,0.014,0.695,0.264,0.006,0.011,0,0.011,0.038,4,"50,644",17.2
Alaska,2010,83.4,26.6,-3.5,9.3,714146,755,12069,17816,2270,24277,14871,7196,43819,22631,1154,652,915,4423,176,144,12891,15331,24134,1450,16721,5513,46452,10090,31548,21294,108178,49543,43749,2558356,0.522,0.478,0.736,0.692,0.106,0.075,0.07,0.674,0.035,0.146,0.055,0.011,0.009,0.057,0,"570,665",12.5
Arizona,2010,74.3,25.6,-2.46,8,6413158,26348,15652,17977,12503,161293,159094,109131,355645,88072,10875,5799,5031,17848,6001,1743,194415,193492,205827,29977,252071,66613,340360,66932,237217,160238,447975,44145,33773,16581697,0.497,0.503,0.745,0.702,0.17,0.138,0.026,0.794,0.041,0.045,0.027,0.002,0.064,0.298,5.6,"113,595",18.8
Arkansas,2010,63.4,18.9,0.75,10.4,2921588,56100,13849,16789,7570,86930,163515,50356,159135,65235,5976,1558,2122,7547,1855,385,55493,52500,60844,26943,81401,20186,172842,18703,96650,84485,236627,36686,32373,7391579,0.49,0.51,0.757,0.71,0.178,0.144,0.017,0.784,0.159,0.006,0.011,0.002,0.021,0.063,6,"52,030",15.3
California,2010,75.6,29.9,-0.97,7.9,37338198,237455,213933,60398,59397,874486,1323830,727270,1893393,572625,102451,170341,50659,118472,28022,39611,957558,1042363,1708556,207426,1253780,440359,1866022,538884,1379286,1183534,2682167,54355,41893,174555269,0.497,0.503,0.751,0.704,0.143,0.114,0.042,0.624,0.06,0.008,0.131,0.004,0.131,0.377,7.25,"155,766",16.3
Colorado,2010,76.1,35.9,-2.31,12.4,5047692,45276,11376,49139,8744,187494,138558,101965,301498,79564,26896,5635,7545,33525,7968,2440,192375,180211,275885,32327,186937,59355,281417,86393,234498,155718,454372,48477,42107,20949446,0.501,0.499,0.757,0.715,0.14,0.109,0.034,0.833,0.039,0.01,0.026,0.001,0.056,0.208,2.9,"103,641",12.3
Connecticut,2010,82,35.6,-4.05,9,3575498,8654,2557,3039,6710,102544,173238,70160,215784,49510,11133,4166,5989,11411,2916,2734,193361,110366,153669,30422,110803,77585,283971,48975,122241,109054,266285,58501,55427,27438717,0.486,0.514,0.772,0.73,0.177,0.142,0.025,0.782,0.1,0.002,0.038,0,0.053,0.135,6,"4,840",8.6
Delaware,2010,76.5,28.7,0.76,9.3,899792,3129,999,999,2160,28580,27198,13668,58789,12523,1329,422,368,3305,1341,335,50624,25191,34123,10523,27815,9435,62879,13679,35966,30109,72847,47961,39425,3641745,0.485,0.515,0.771,0.721,0.175,0.144,0.026,0.707,0.213,0.003,0.031,0.001,0.02,0.082,0,"1,949",12.2
District of Columbia,2010,73.3,48.5,0.45,8,604912,0,72,433,1876,13413,1716,5297,21784,6350,6949,1367,4780,4223,859,3037,22803,23760,124809,2383,47581,52364,64903,13588,55727,77068,268654,78560,71220,4650628,0.473,0.527,0.832,0.77,0.144,0.115,0.02,0.402,0.512,0.003,0.036,0,0.028,0.091,6,61,19.5
Florida,2010,75,25.3,-1.94,10,18838613,83076,63945,22743,24539,505175,335456,347607,1090767,298380,38592,15043,17643,68830,22310,5857,570558,549477,672842,91459,796810,197954,1101141,287972,790018,678168,1202051,42871,38345,55628488,0.489,0.511,0.788,0.745,0.21,0.174,0.022,0.765,0.159,0.004,0.024,0.001,0.026,0.226,6,"53,603",16
Georgia,2010,73,27.5,-0.27,11.3,9712157,53284,22294,9803,20907,272278,362092,214651,531333,207021,28054,8920,14486,52730,8826,2912,249558,227424,343830,57465,397621,108096,480862,91543,366477,350695,796339,44924,34531,29809893,0.488,0.512,0.743,0.696,0.137,0.106,0.018,0.607,0.306,0.002,0.033,0,0.033,0.088,4,"57,501",18.8
Hawaii,2010,78.9,29.6,-2.06,10.2,1363359,12168,3645,1162,3449,39826,16478,21482,82855,27049,2208,3393,1256,4148,617,276,29047,38533,44270,6987,54959,19438,72680,20529,94770,48756,181965,43202,40952,4589432,0.502,0.498,0.777,0.737,0.179,0.145,0.238,0.246,0.015,0.002,0.389,0.099,0.011,0.089,4,"6,428",12.4
Idaho,2010,77.5,23.9,1.8,6.8,1571102,36937,11531,4416,2962,54024,58365,28739,98752,25173,3630,1144,1664,4533,848,836,37437,43489,52767,6357,49574,14466,89668,17200,54817,45546,128487,35781,31556,3783166,0.501,0.499,0.727,0.684,0.155,0.125,0.023,0.922,0.006,0.014,0.012,0.001,0.022,0.113,6,"82,643",13.8
Illinois,2010,74.2,30.6,0.37,8.7,12841980,79572,11241,25580,24055,318264,578936,306596,698665,295778,36911,11794,11251,43460,11295,5601,477706,279380,507048,101564,480890,197452,822179,146128,468171,415291,906862,50271,42025,53333266,0.49,0.51,0.757,0.713,0.155,0.126,0.019,0.725,0.145,0.002,0.046,0,0.063,0.159,6.25,"55,518",14.1
Indiana,2010,69.5,22.5,0.98,10.4,6490622,66545,8598,11819,15389,181024,460725,123122,372117,139499,14478,4402,4982,16408,2843,825,143476,127253,156773,29222,202666,78018,395114,69772,245837,197315,457921,39885,34028,19696750,0.493,0.507,0.753,0.706,0.161,0.13,0.02,0.851,0.09,0.003,0.016,0,0.02,0.06,7,"35,823",16.3
Iowa,2010,73.2,25.1,1.31,10.1,3050202,92536,14656,4225,7080,102076,206736,71101,215646,71651,11336,2212,3249,9642,6032,428,125175,59870,71141,14015,89267,44515,209496,34431,119583,96993,268540,37323,37882,9888603,0.494,0.506,0.762,0.715,0.182,0.148,0.018,0.915,0.031,0.003,0.017,0,0.015,0.05,6,"55,858",10.3
Kansas,2010,75.8,29.5,-0.01,6.3,2859143,64995,8793,36183,8015,85434,166149,64628,178953,55278,7861,2247,2979,17615,2173,531,92670,59815,93430,16515,94129,25979,188517,27429,109333,93540,303602,39824,38545,10238677,0.496,0.504,0.746,0.7,0.164,0.133,0.031,0.852,0.058,0.009,0.025,0,0.025,0.105,5.3,"81,762",14.5
Kentucky,2010,65.5,21,-0.39,7.1,4347223,87285,12679,29865,6692,118238,215146,77507,244956,99370,6784,2380,3595,11874,5597,610,96811,79003,106755,21105,126174,38090,245867,35512,159031,124381,385033,38532,32504,12366868,0.492,0.508,0.765,0.722,0.167,0.133,0.016,0.883,0.077,0.002,0.011,0.001,0.01,0.03,6,"39,492",17.7
Louisiana,2010,65.8,21.4,6.45,10.2,4545343,33144,19949,74120,9876,178877,144576,77021,261266,90139,5049,5112,4763,12287,2100,581,101259,104309,130967,27357,146313,47214,274880,48913,184100,172562,408773,42181,37116,12611572,0.49,0.51,0.754,0.708,0.154,0.123,0.015,0.628,0.32,0.006,0.016,0.001,0.013,0.043,4,"43,199",21.5
Maine,2010,77.7,26.9,0.12,7.4,1327379,10114,14070,863,2002,51653,55145,21451,99966,20269,3823,1015,2019,2352,1278,845,33212,29731,41988,7340,38489,18598,113062,18852,56861,40574,110767,38329,36629,4163951,0.489,0.511,0.794,0.753,0.2,0.159,0.018,0.953,0.011,0.005,0.01,0,0.002,0.012,5,"30,841",12.6
Maryland,2010,78.7,35.7,0.84,8.2,5785681,15722,6394,4339,10362,203856,122655,94702,333565,90127,12821,5912,5895,23691,7353,1826,160881,169210,330606,21778,205238,92639,396049,75770,211031,188486,565550,52945,48621,31958550,0.484,0.516,0.766,0.724,0.155,0.123,0.028,0.589,0.294,0.003,0.055,0,0.03,0.082,6,"9,705",10.9
Massachusetts,2010,81.7,38.2,3.34,7.8,6555466,10244,10794,3331,11047,193765,265403,134128,394938,93612,45264,7252,6151,23186,8319,7806,259235,167581,389315,59000,215436,212778,570145,101897,275714,196919,454165,56808,51143,41902880,0.483,0.517,0.784,0.737,0.173,0.138,0.028,0.811,0.068,0.002,0.054,0,0.037,0.096,6.25,"7,801",10.9
Michigan,2010,73.8,24.6,-1.26,8.3,9877143,64676,14551,19406,20107,220589,498677,166517,541311,128634,23235,8063,6704,24812,5560,2207,223268,221748,338477,51629,336441,103317,636380,101097,349670,275354,651068,43865,34326,29565885,0.491,0.509,0.764,0.716,0.172,0.138,0.024,0.793,0.14,0.006,0.024,0,0.012,0.044,6,"56,528",15.7
Minnesota,2010,77.8,31.5,2,12.7,5310658,87210,13076,9718,13390,147849,305596,134042,343085,103955,25151,5288,6336,15363,8984,1734,203422,135048,201511,72747,163947,85287,441206,78116,212031,176618,420671,45910,42528,23776205,0.496,0.504,0.758,0.716,0.16,0.129,0.024,0.861,0.052,0.011,0.04,0,0.013,0.047,6.875,"79,607",10.8
Mississippi,2010,56.6,19.6,-1.73,7.4,2970072,45490,13759,13960,8141,88449,139937,38272,162083,52202,3431,1223,2054,7228,823,124,55125,46160,55347,10775,82715,24462,143627,20498,115205,82632,281870,35274,30841,6452288,0.485,0.515,0.746,0.698,0.161,0.129,0.011,0.595,0.373,0.004,0.009,0,0.008,0.025,7,"46,920",22.5
Missouri,2010,69.5,25.2,0.23,10.5,5995715,104305,11701,8486,12989,179734,254464,126185,368284,114847,17968,4716,7370,23424,11709,1287,182428,142687,183421,61525,192915,75536,390950,72345,246626,191813,490751,41677,36406,18811030,0.489,0.511,0.764,0.718,0.174,0.141,0.022,0.831,0.117,0.004,0.016,0.001,0.01,0.036,4.225,"68,716",15
Montana,2010,69.6,27.4,0.93,9.3,990958,28809,6693,11057,3173,41201,19803,17561,70760,17604,2505,878,1259,3240,1026,152,25123,30516,33801,2026,26684,7958,68451,18634,49705,37034,97031,34679,34405,2890483,0.504,0.496,0.775,0.73,0.187,0.149,0.024,0.899,0.005,0.062,0.006,0.001,0.004,0.028,0,"145,541",14.5
Nebraska,2010,77,27.4,1.06,6.8,1830141,51405,9530,2886,1846,64425,94529,43490,129554,60470,5294,1248,3237,3713,5049,687,77754,39295,61103,17782,56770,22863,130440,21749,74420,66724,177032,38782,39445,6228536,0.495,0.505,0.748,0.704,0.164,0.135,0.022,0.889,0.044,0.009,0.016,0.001,0.019,0.092,5.5,"76,825",10.2
Nevada,2010,76,21.8,-1.34,4.7,2704283,4775,1522,17017,4535,76612,41687,37627,153587,53801,3635,3190,2281,6607,1226,766,83578,93821,81989,21914,95312,14038,109812,46645,291972,66579,168974,43637,35777,7938562,0.505,0.495,0.754,0.714,0.156,0.121,0.039,0.729,0.08,0.01,0.073,0.006,0.063,0.266,6.85,"109,780",16.6
New Hampshire,2010,84.7,32,3.37,13.8,1316807,5083,2956,1341,2690,49142,70013,28944,110044,15902,5954,874,898,4378,1200,538,40650,34924,54413,8425,40621,26940,95140,20870,56266,38882,97645,45150,43968,4904645,0.492,0.508,0.783,0.737,0.173,0.136,0.016,0.941,0.012,0.002,0.021,0,0.008,0.028,0,"8,952",6.5
New Jersey,2010,83,34.5,-0.34,6.1,8799593,16389,6476,4174,15035,213578,269393,231336,517173,192154,26581,9266,4123,38519,10869,6037,322150,277884,420516,77590,302757,122166,577795,104511,308149,242233,647898,55587,50428,50357421,0.487,0.513,0.766,0.728,0.167,0.135,0.026,0.693,0.135,0.002,0.082,0,0.061,0.178,7,"7,354",11.1
New Mexico,2010,65,25.3,-3.04,9.6,2065913,25307,5238,27133,4576,61864,34626,26916,111136,23741,3251,3737,1506,7501,721,335,34699,40073,78627,5392,54559,16749,119722,23049,81659,51073,217256,40069,32940,4934739,0.494,0.506,0.749,0.703,0.168,0.133,0.029,0.734,0.02,0.094,0.012,0.001,0.111,0.464,5,"121,297",18.3
New York,2010,76.9,32.4,1.66,7.9,19395206,50707,13395,14855,40187,460023,484363,362708,1035511,320598,82530,62713,43226,55995,18487,27768,804908,553438,845667,143567,546594,427182,1537085,316496,654005,587914,1517910,59511,49119,127623355,0.484,0.516,0.778,0.732,0.168,0.135,0.026,0.659,0.155,0.004,0.074,0,0.081,0.177,4,"47,126",16
North Carolina,2010,69.1,26.5,1.56,8.6,9560234,63073,23435,7839,13007,296974,449794,181493,529870,137235,22106,6106,8942,30788,11673,2655,229222,221589,290420,75732,337086,113892,526197,104764,360719,286067,866914,42039,34604,29593211,0.487,0.513,0.761,0.715,0.163,0.13,0.023,0.697,0.214,0.012,0.022,0,0.031,0.084,5.75,"48,619",17.4
North Dakota,2010,73.2,25.8,7.5,10.8,674629,31550,3924,13301,3493,30281,23794,22224,54128,16882,3257,447,1299,1989,1107,68,24436,16912,18998,4517,16495,5618,59451,7038,33121,25018,84723,37653,42462,2421437,0.509,0.491,0.777,0.727,0.177,0.145,0.02,0.9,0.013,0.049,0.011,0.001,0.005,0.021,5,"69,001",12.6
Ohio,2010,72.6,24.1,-0.78,10,11537968,78489,12825,30345,21018,295508,644542,236907,669011,216066,32386,6997,8277,33098,6925,5794,319044,243975,369172,112099,384766,146709,832502,119405,443993,338761,835221,42218,35931,38748779,0.488,0.512,0.764,0.721,0.174,0.141,0.021,0.83,0.122,0.002,0.017,0,0.008,0.031,5.5,"40,858",15.4
Oklahoma,2010,65.2,22.7,-0.61,6.9,3760184,87131,8723,105290,11625,118194,132313,60906,212559,56769,6874,2593,3983,13182,2689,530,95737,73350,102015,17080,128429,26894,207492,29559,137111,115520,379778,38854,35535,10584965,0.493,0.507,0.753,0.707,0.167,0.136,0.079,0.735,0.072,0.07,0.017,0.001,0.026,0.088,4.5,"68,603",16.3
Oregon,2010,80.6,29.2,9.45,10.7,3838332,69391,28213,4870,4856,103626,176916,80893,229397,61740,16923,4724,3627,8511,4768,1200,91035,103554,132113,31661,111645,53340,252251,52476,154380,113676,300630,42014,35906,13841395,0.495,0.505,0.774,0.734,0.176,0.139,0.036,0.85,0.018,0.013,0.037,0.003,0.043,0.118,0,"95,985",14.3
Pennsylvania,2010,74.3,26.4,0.31,8.4,12717722,74160,17622,44061,22755,355969,585690,244155,763050,255816,36139,9537,9913,35536,11609,7048,382900,261930,462495,122417,357565,273129,996234,153404,445996,390015,823544,44805,40444,51609160,0.487,0.513,0.781,0.734,0.189,0.155,0.019,0.826,0.108,0.002,0.028,0,0.018,0.057,6,"44,739",12.2
Rhode Island,2010,77,30.5,1.28,11.7,1052528,1446,999,999,1181,27765,42273,17622,55725,11956,2657,1004,804,3385,3137,590,33711,25896,36429,9745,31449,28832,87515,14329,44858,27702,73048,45275,42001,4051475,0.483,0.517,0.787,0.732,0.175,0.145,0.027,0.814,0.06,0.003,0.029,0.001,0.065,0.125,7,"1,034",14
South Carolina,2010,63.4,24.3,-0.89,11.2,4637106,29025,10381,3581,12395,128614,214780,70888,269083,62239,7293,2591,3093,14510,3614,748,102705,108135,119228,16061,173799,39009,197547,45360,195865,222813,397867,38715,32193,11480989,0.486,0.514,0.767,0.718,0.172,0.137,0.018,0.671,0.281,0.003,0.012,0,0.015,0.05,6,"30,070",16.9
South Dakota,2010,70,25.1,-4.84,5.1,816598,31606,4802,2238,2188,32331,38772,19890,63438,15112,2118,699,1293,3248,230,65,37773,19149,19443,3937,19196,10340,64538,11327,40421,28133,85712,33922,39558,2122787,0.504,0.496,0.752,0.703,0.175,0.144,0.02,0.86,0.013,0.09,0.01,0,0.007,0.025,4,"75,811",13.6
Tennessee,2010,69.1,23,3.08,9.8,6357436,78732,10334,8322,3794,195316,311978,128303,383522,160164,12742,10613,7224,18201,5599,1052,163077,129959,180835,28283,246183,66838,379690,71294,254722,223012,458022,41014,35103,14014142,0.487,0.513,0.764,0.72,0.169,0.135,0.017,0.784,0.168,0.003,0.015,0,0.014,0.045,7,"41,235",16.7
Texas,2010,65.5,25.5,1.56,8.2,25253466,262341,55313,396360,54231,918611,865829,548834,1419062,510291,50434,21496,25178,100301,32463,5833,832756,587572,919225,110972,933960,218498,1383405,232630,987868,809713,2013072,46542,38222,73767290,0.496,0.504,0.727,0.682,0.131,0.104,0.022,0.741,0.118,0.005,0.038,0.001,0.075,0.377,6.25,"261,226",18.4
Utah,2010,83.1,28.5,3.07,8.1,2775479,19065,3352,14695,4278,92063,118148,50015,173547,51473,10317,4651,2528,6789,7850,2277,111118,93361,107455,22428,90257,48918,137253,34439,100356,82999,234278,40174,32121,7452292,0.503,0.497,0.685,0.636,0.113,0.09,0.024,0.888,0.01,0.012,0.019,0.009,0.037,0.13,4.7,"82,191",10
Virginia,2010,75.4,33.1,1.72,6.4,625909,8609,3327,1121,1898,28406,33904,10827,46912,8717,2457,634,758,1705,742,484,13877,14484,26216,1118,16225,16932,55021,10832,31502,24244,57403,38735,39736,2054121,0.492,0.508,0.793,0.742,0.183,0.146,0.016,0.954,0.01,0.002,0.012,0,0.004,0.015,6,"9,217",10.8
Vermont,2010,76.4,34,-0.2,7.1,8023953,53441,12063,14932,11528,274708,240515,120814,473728,132541,22008,6201,10034,36017,12615,3525,192651,207029,509998,76365,267757,96084,432209,92225,315826,264821,874038,50948,44134,38126338,0.491,0.509,0.769,0.722,0.155,0.122,0.027,0.695,0.196,0.003,0.055,0.001,0.024,0.079,4,"39,493",10.7
Washington,2010,81.7,31,-0.13,9.9,6742950,83524,37454,7364,5325,198063,274529,133294,382339,108579,63093,6808,4575,27618,5799,5951,155506,178234,274988,33942,183817,69905,384917,89652,241384,195180,632061,49282,42024,22207061,0.498,0.502,0.765,0.722,0.156,0.123,0.045,0.787,0.035,0.015,0.072,0.006,0.04,0.113,6.5,"66,449",11.6
West Virginia,2010,66.9,17.3,-1.26,8.4,1854368,22283,2768,41587,5816,47636,51369,24911,105544,24565,3665,840,1637,4470,1204,123,27587,25427,37733,5932,41039,12467,120612,15888,67161,52591,162198,37098,31806,4789663,0.493,0.507,0.791,0.747,0.198,0.161,0.02,0.939,0.031,0.002,0.006,0,0.003,0.012,6,"24,038",16.8
Wisconsin,2010,78.8,25.7,1.16,8.5,5691659,92926,14451,5384,11426,156692,445221,123176,366142,111266,20067,4505,4979,14548,9130,546,183988,119313,155164,48932,167244,67102,395921,66437,238416,178767,437276,40479,38010,20753111,0.497,0.503,0.765,0.721,0.168,0.137,0.021,0.87,0.062,0.008,0.023,0,0.016,0.059,5,"54,154",10.1
Wyoming,2010,76.1,23.8,-8.26,7,564554,12545,2704,30854,2552,30949,10418,9425,38242,14057,1366,568,617,1800,275,72,14866,19719,16654,1195,12384,3604,29005,6615,32385,17865,74993,42587,45353,2227222,0.509,0.491,0.758,0.713,0.157,0.124,0.027,0.91,0.008,0.026,0.007,0.001,0.022,0.09,4,"97,088",9.6